id_registro,variable,valor
4634,departamento,SACATEPEQUEZ
4635,departamento,SACATEPEQUEZ
4636,departamento,SACATEPEQUEZ
4637,departamento,SACATEPEQUEZ
4638,departamento,SACATEPEQUEZ
4639,departamento,SACATEPEQUEZ
4640,departamento,SACATEPEQUEZ
4641,departamento,SACATEPEQUEZ
4642,departamento,SACATEPEQUEZ
4643,departamento,SACATEPEQUEZ
4644,departamento,SACATEPEQUEZ
4645,departamento,SACATEPEQUEZ
4646,departamento,SACATEPEQUEZ
4647,departamento,SACATEPEQUEZ
4648,departamento,SACATEPEQUEZ
4649,departamento,SACATEPEQUEZ
4650,departamento,SACATEPEQUEZ
4651,departamento,SACATEPEQUEZ
4652,departamento,SACATEPEQUEZ
4653,departamento,SACATEPEQUEZ
4654,departamento,SACATEPEQUEZ
4655,departamento,SACATEPEQUEZ
4656,departamento,SACATEPEQUEZ
4657,departamento,SACATEPEQUEZ
6014,departamento,SOLOLA
6015,departamento,SOLOLA
6016,departamento,SOLOLA
6017,departamento,SOLOLA
6018,departamento,SOLOLA
6019,departamento,SOLOLA
6020,departamento,SOLOLA
6021,departamento,SOLOLA
6022,departamento,SOLOLA
6023,departamento,SOLOLA
6024,departamento,SOLOLA
6025,departamento,SOLOLA
6026,departamento,SOLOLA
6027,departamento,SOLOLA
6028,departamento,SOLOLA
6029,departamento,SOLOLA
6030,departamento,SOLOLA
6031,departamento,SOLOLA
6032,departamento,SOLOLA
6033,departamento,SOLOLA
6034,departamento,SOLOLA
6035,departamento,SOLOLA
6036,departamento,SOLOLA
6037,departamento,SOLOLA
6038,departamento,SOLOLA
6039,departamento,SOLOLA
6040,departamento,SOLOLA
6041,departamento,SOLOLA
6042,departamento,SOLOLA
6043,departamento,SOLOLA
6044,departamento,SOLOLA
6045,departamento,SOLOLA
6046,departamento,SOLOLA
6047,departamento,SOLOLA
6048,departamento,SOLOLA
6049,departamento,SOLOLA
6050,departamento,SOLOLA
6051,departamento,SOLOLA
6052,departamento,SOLOLA
6053,departamento,SOLOLA
6054,departamento,SOLOLA
6055,departamento,SOLOLA
6056,departamento,SOLOLA
6057,departamento,SOLOLA
6058,departamento,SOLOLA
6059,departamento,SOLOLA
6060,departamento,SOLOLA
6061,departamento,SOLOLA
6062,departamento,SOLOLA
6063,departamento,SOLOLA
6064,departamento,SOLOLA
6065,departamento,SOLOLA
6066,departamento,SOLOLA
6067,departamento,SOLOLA
6068,departamento,SOLOLA
6069,departamento,SOLOLA
6070,departamento,SOLOLA
6071,departamento,SOLOLA
6072,departamento,SOLOLA
6073,departamento,SOLOLA
6074,departamento,SOLOLA
6075,departamento,SOLOLA
6076,departamento,SOLOLA
6077,departamento,SOLOLA
6078,departamento,SOLOLA
6079,departamento,SOLOLA
6080,departamento,SOLOLA
6081,departamento,SOLOLA
6082,departamento,SOLOLA
6083,departamento,SOLOLA
6084,departamento,SOLOLA
6085,departamento,SOLOLA
6086,departamento,SOLOLA
