id_registro_a,id_registro_b,codigo_a,codigo_b,establecimiento_a,establecimiento_b,jornada_a,jornada_b,plan_a,plan_b,score,decision
5921,5945,06-08-0089-46,06-08-1828-46,COLEGIO TÉCNICO DE COMPUTACIÓN C.T.S.,COLEGIO TECNICO DE COMPUTACION C.T.S,DOBLE,DOBLE,DIARIO(REGULAR),SABATINO,93.2,
3242,3276,01-14-0054-46,01-14-0157-46,LICEO CRISTIANO BETH SHALOM,LICEO CRISTIANO BETH SHALOM SUR,DOBLE,VESPERTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.1,
3262,3345,01-14-0115-46,01-14-8051-46,"LICEO MIXTO CRISTIANO ""JIREH""",LICEO MIXTO CRISTIANO 'JIREH',DOBLE,DOBLE,FIN DE SEMANA,FIN DE SEMANA,93.1,
3275,3283,01-14-0156-46,01-14-0169-46,LICEO CRISTIANO BETH SHALOM SUR,LICEO CRISTIANO BETH SHALOM,MATUTINA,VESPERTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.1,
3272,3345,01-14-0141-46,01-14-8051-46,"LICEO MIXTO CRISTIANO ""JIREH""",LICEO MIXTO CRISTIANO 'JIREH',DOBLE,DOBLE,FIN DE SEMANA,FIN DE SEMANA,93.1,
3272,3344,01-14-0141-46,01-14-8050-46,"LICEO MIXTO CRISTIANO ""JIREH""",LICEO MIXTO CRISTIANO 'JIREH',DOBLE,VESPERTINA,FIN DE SEMANA,DIARIO(REGULAR),93.1,
3241,3276,01-14-0053-46,01-14-0157-46,LICEO CRISTIANO BETH SHALOM,LICEO CRISTIANO BETH SHALOM SUR,DOBLE,VESPERTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.1,
3242,3275,01-14-0054-46,01-14-0156-46,LICEO CRISTIANO BETH SHALOM,LICEO CRISTIANO BETH SHALOM SUR,DOBLE,MATUTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.1,
3241,3275,01-14-0053-46,01-14-0156-46,LICEO CRISTIANO BETH SHALOM,LICEO CRISTIANO BETH SHALOM SUR,DOBLE,MATUTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.1,
3275,3296,01-14-0156-46,01-14-0194-46,LICEO CRISTIANO BETH SHALOM SUR,LICEO CRISTIANO BETH SHALOM,MATUTINA,SIN JORNADA,DIARIO(REGULAR),SEMIPRESENCIAL (FIN DE SEMANA),93.1,
3276,3335,01-14-0157-46,01-14-7163-46,LICEO CRISTIANO BETH SHALOM SUR,LICEO CRISTIANO BETH SHALOM,VESPERTINA,DOBLE,DIARIO(REGULAR),FIN DE SEMANA,93.1,
3276,3328,01-14-0157-46,01-14-6827-46,LICEO CRISTIANO BETH SHALOM SUR,LICEO CRISTIANO BETH SHALOM,VESPERTINA,MATUTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.1,
3276,3331,01-14-0157-46,01-14-6830-46,LICEO CRISTIANO BETH SHALOM SUR,LICEO CRISTIANO BETH SHALOM,VESPERTINA,DOBLE,DIARIO(REGULAR),FIN DE SEMANA,93.1,
3276,3296,01-14-0157-46,01-14-0194-46,LICEO CRISTIANO BETH SHALOM SUR,LICEO CRISTIANO BETH SHALOM,VESPERTINA,SIN JORNADA,DIARIO(REGULAR),SEMIPRESENCIAL (FIN DE SEMANA),93.1,
3276,3330,01-14-0157-46,01-14-6829-46,LICEO CRISTIANO BETH SHALOM SUR,LICEO CRISTIANO BETH SHALOM,VESPERTINA,VESPERTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.1,
3255,3275,01-14-0085-46,01-14-0156-46,LICEO CRISTIANO BETH SHALOM,LICEO CRISTIANO BETH SHALOM SUR,MATUTINA,MATUTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.1,
3255,3276,01-14-0085-46,01-14-0157-46,LICEO CRISTIANO BETH SHALOM,LICEO CRISTIANO BETH SHALOM SUR,MATUTINA,VESPERTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.1,
2092,2103,00-19-1097-46,00-19-8146-46,CENTRO ESCOLAR CRISTIANO LA FUERZA PROFESIONAL DEL FUTURO,CENTRO ESCOLAR CRISTIANO 'LA FUERZA PROFESIONAL DEL FUTURO',VESPERTINA,MATUTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.1,
172,396,00-01-0399-46,00-01-0824-46,COLEGIO TECNOLOGICO LA MISION,COLEGIO TECNOLÓGICO LA MISIÓN,DOBLE,SIN JORNADA,FIN DE SEMANA,SEMIPRESENCIAL (FIN DE SEMANA),93.1,
10181,10182,17-05-0301-46,17-05-0302-46,"COLEGIO MIXTO DE EDUCACIÓN MEDIA -CMEM- ""EL INNOVADOR""","COLEGIO MIXTO DE EDUCACIÓN MEDIA ""EL INNOVADOR""",DOBLE,DOBLE,FIN DE SEMANA,FIN DE SEMANA,93.1,
169,396,00-01-0396-46,00-01-0824-46,COLEGIO TECNOLOGICO LA MISION,COLEGIO TECNOLÓGICO LA MISIÓN,MATUTINA,SIN JORNADA,DIARIO(REGULAR),SEMIPRESENCIAL (FIN DE SEMANA),93.1,
8928,8935,13-26-0220-46,13-26-0236-46,ASOCIACIÓN DE MAESTROS DE EDUCACIÓN RURAL DE GUATEMALA,ASOCIACIÓN DE MAESTROS DE EDUCACIÓN RURAL DE GUATEMALA -AMERG-,VESPERTINA,SIN JORNADA,DIARIO(REGULAR),SEMIPRESENCIAL (FIN DE SEMANA),93.1,
170,396,00-01-0397-46,00-01-0824-46,COLEGIO TECNOLOGICO LA MISION,COLEGIO TECNOLÓGICO LA MISIÓN,VESPERTINA,SIN JORNADA,DIARIO(REGULAR),SEMIPRESENCIAL (FIN DE SEMANA),93.1,
3261,3344,01-14-0114-46,01-14-8050-46,"LICEO MIXTO CRISTIANO ""JIREH""",LICEO MIXTO CRISTIANO 'JIREH',VESPERTINA,VESPERTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.1,
3262,3344,01-14-0115-46,01-14-8050-46,"LICEO MIXTO CRISTIANO ""JIREH""",LICEO MIXTO CRISTIANO 'JIREH',DOBLE,VESPERTINA,FIN DE SEMANA,DIARIO(REGULAR),93.1,
3276,3329,01-14-0157-46,01-14-6828-46,LICEO CRISTIANO BETH SHALOM SUR,LICEO CRISTIANO BETH SHALOM,VESPERTINA,NOCTURNA,DIARIO(REGULAR),DIARIO(REGULAR),93.1,
3275,3330,01-14-0156-46,01-14-6829-46,LICEO CRISTIANO BETH SHALOM SUR,LICEO CRISTIANO BETH SHALOM,MATUTINA,VESPERTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.1,
3275,3329,01-14-0156-46,01-14-6828-46,LICEO CRISTIANO BETH SHALOM SUR,LICEO CRISTIANO BETH SHALOM,MATUTINA,NOCTURNA,DIARIO(REGULAR),DIARIO(REGULAR),93.1,
1209,1397,00-07-0033-46,00-07-9009-46,COLEGIO MIXTO MARIA DE FATIMA,COLEGIO MIXTO MARÍA DE FÁTIMA,DOBLE,MATUTINA,FIN DE SEMANA,DIARIO(REGULAR),93.1,
171,396,00-01-0398-46,00-01-0824-46,COLEGIO TECNOLOGICO LA MISION,COLEGIO TECNOLÓGICO LA MISIÓN,DOBLE,SIN JORNADA,FIN DE SEMANA,SEMIPRESENCIAL (FIN DE SEMANA),93.1,
3261,3345,01-14-0114-46,01-14-8051-46,"LICEO MIXTO CRISTIANO ""JIREH""",LICEO MIXTO CRISTIANO 'JIREH',VESPERTINA,DOBLE,DIARIO(REGULAR),FIN DE SEMANA,93.1,
3276,3283,01-14-0157-46,01-14-0169-46,LICEO CRISTIANO BETH SHALOM SUR,LICEO CRISTIANO BETH SHALOM,VESPERTINA,VESPERTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.1,
3275,3331,01-14-0156-46,01-14-6830-46,LICEO CRISTIANO BETH SHALOM SUR,LICEO CRISTIANO BETH SHALOM,MATUTINA,DOBLE,DIARIO(REGULAR),FIN DE SEMANA,93.1,
3275,3335,01-14-0156-46,01-14-7163-46,LICEO CRISTIANO BETH SHALOM SUR,LICEO CRISTIANO BETH SHALOM,MATUTINA,DOBLE,DIARIO(REGULAR),FIN DE SEMANA,93.1,
8929,8935,13-26-0221-46,13-26-0236-46,ASOCIACIÓN DE MAESTROS DE EDUCACIÓN RURAL DE GUATEMALA,ASOCIACIÓN DE MAESTROS DE EDUCACIÓN RURAL DE GUATEMALA -AMERG-,DOBLE,SIN JORNADA,FIN DE SEMANA,SEMIPRESENCIAL (FIN DE SEMANA),93.1,
3275,3328,01-14-0156-46,01-14-6827-46,LICEO CRISTIANO BETH SHALOM SUR,LICEO CRISTIANO BETH SHALOM,MATUTINA,MATUTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.1,
206,847,00-01-0465-46,00-01-9780-46,COLEGIO VALVERDE NO. 2,COLEGIO VALVERDE NO.2,DOBLE,DOBLE,FIN DE SEMANA,FIN DE SEMANA,93.0,
393,851,00-01-0819-46,00-01-9790-46,COLEGIO VALVERDE NO. 2,COLEGIO VALVERDE NO.2,SIN JORNADA,DOBLE,SEMIPRESENCIAL (FIN DE SEMANA),DIARIO(REGULAR),93.0,
206,850,00-01-0465-46,00-01-9789-46,COLEGIO VALVERDE NO. 2,COLEGIO VALVERDE NO.2,DOBLE,MATUTINA,FIN DE SEMANA,DIARIO(REGULAR),93.0,
206,851,00-01-0465-46,00-01-9790-46,COLEGIO VALVERDE NO. 2,COLEGIO VALVERDE NO.2,DOBLE,DOBLE,FIN DE SEMANA,DIARIO(REGULAR),93.0,
206,849,00-01-0465-46,00-01-9788-46,COLEGIO VALVERDE NO. 2,COLEGIO VALVERDE NO.2,DOBLE,MATUTINA,FIN DE SEMANA,DIARIO(REGULAR),93.0,
9005,9067,14-01-0090-46,14-01-6083-46,"COLEGIO MIXTO BILINGUE INTERCULTURAL ""Q´IJ""",COLEGIO MIXTO BILINGUE INTERCULTURAL 'Q'IJ',DOBLE,MATUTINA,FIN DE SEMANA,DIARIO(REGULAR),93.0,
3688,3794,01-15-6187-46,01-15-9217-46,CENTRO CRISTIANO EDUCACIONAL VIDA S.A.,CENTRO CRISTIANO EDUCACIONAL VIDA,MATUTINA,MATUTINA,DIARIO(REGULAR),DIARIO(REGULAR),93.0,
10333,10352,17-10-0243-46,17-10-0346-46,"INSTITUTO PRIVADO MIXTO "" LA REYNITA""",INSTITUTO PRIVADO MIXTO LA REINITA,VESPERTINA,DOBLE,DIARIO(REGULAR),FIN DE SEMANA,93.0,
10333,10353,17-10-0243-46,17-10-0347-46,"INSTITUTO PRIVADO MIXTO "" LA REYNITA""",INSTITUTO PRIVADO MIXTO LA REINITA,VESPERTINA,DOBLE,DIARIO(REGULAR),FIN DE SEMANA,93.0,
